tx_id	gene_id	index
ENST00000456328	ENSG00000223972	1
ENST00000538476	ENSG00000227232	9
ENST00000473358	ENSG00000243485	10
ENST00000417324	ENSG00000237613	13
ENST00000594647	ENSG00000268020	16
ENST00000492842	ENSG00000240361	17
ENST00000335137	ENSG00000186092	18
ENST00000495576	ENSG00000239945	20
ENST00000477740	ENSG00000238009	21
ENST00000442987	ENSG00000233750	24
ENST00000423372	ENSG00000237683	25
ENST00000494149	ENSG00000268903	26
ENST00000595919	ENSG00000269981	27
ENST00000493797	ENSG00000239906	28
ENST00000466557	ENSG00000241860	31
ENST00000410691	ENSG00000222623	32
ENST00000496488	ENSG00000241599	33
ENST00000450734	ENSG00000241670	38
ENST00000424587	ENSG00000228463	39
ENST00000514436	ENSG00000250575	51
ENST00000432723	ENSG00000233653	52
ENST00000445840	ENSG00000224813	54
ENST00000455207	ENSG00000237094	55
ENST00000426406	ENSG00000235249	56
ENST00000437905	ENSG00000269732	57
ENST00000540477	ENSG00000256186	59
ENST00000450983	ENSG00000236601	62
ENST00000441866	ENSG00000236743	64
ENST00000458203	ENSG00000236679	65
ENST00000417636	ENSG00000231709	66
ENST00000423796	ENSG00000235146	67
ENST00000357876	ENSG00000239664	70
ENST00000440200	ENSG00000230021	71
ENST00000452176	ENSG00000223659	72
ENST00000416931	ENSG00000225972	73
ENST00000457540	ENSG00000225630	74
ENST00000414273	ENSG00000237973	75
ENST00000427426	ENSG00000229344	76
ENST00000467115	ENSG00000240409	77
ENST00000514057	ENSG00000248527	78
ENST00000416718	ENSG00000198744	79
ENST00000438434	ENSG00000268663	80
ENST00000332831	ENSG00000185097	81
ENST00000440782	ENSG00000229376	86
ENST00000506640	ENSG00000224956	87
ENST00000416385	ENSG00000235373	88
ENST00000411249	ENSG00000223181	89
ENST00000417659	ENSG00000240618	90
ENST00000422528	ENSG00000229905	91
ENST00000428504	ENSG00000228327	92
ENST00000429505	ENSG00000237491	97
ENST00000590817	ENSG00000230092	112
ENST00000599533	ENSG00000269831	114
ENST00000435300	ENSG00000240453	118
ENST00000326734	ENSG00000177757	119
ENST00000473798	ENSG00000225880	120
ENST00000445118	ENSG00000228794	122
ENST00000446136	ENSG00000230368	133
ENST00000415481	ENSG00000234711	136
ENST00000594233	ENSG00000269308	137
ENST00000607769	ENSG00000272438	138
ENST00000448179	ENSG00000230699	139
ENST00000398216	ENSG00000241180	140
ENST00000609207	ENSG00000223764	141
ENST00000342066	ENSG00000187634	146
ENST00000598827	ENSG00000268179	147
ENST00000327044	ENSG00000188976	155
ENST00000338591	ENSG00000187961	160
ENST00000379410	ENSG00000187583	164
ENST00000433179	ENSG00000187642	169
ENST00000606034	ENSG00000272512	172
ENST00000428771	ENSG00000188290	173
ENST00000423619	ENSG00000231702	177
ENST00000458555	ENSG00000224969	178
ENST00000379389	ENSG00000187608	179
ENST00000379370	ENSG00000188157	180
LRG_198t1	LRG_198	181
ENST00000418300	ENSG00000242590	190
ENST00000427998	ENSG00000217801	191
ENST00000442292	ENSG00000273443	193
ENST00000453464	ENSG00000237330	198
ENST00000448924	ENSG00000131591	200
ENST00000416774	ENSG00000223823	221
ENST00000384997	ENSG00000207730	222
ENST00000384875	ENSG00000207607	223
ENST00000362106	ENSG00000198976	224
ENST00000606993	ENSG00000272141	225
ENST00000379317	ENSG00000205231	226
ENST00000379290	ENSG00000162571	228
ENST00000379268	ENSG00000186891	235
ENST00000379236	ENSG00000186827	238
ENST00000263741	ENSG00000078808	243
ENST00000379198	ENSG00000176022	249
ENST00000330388	ENSG00000184163	252
ENST00000565563	ENSG00000260179	255
ENST00000347370	ENSG00000160087	257
ENST00000434139	ENSG00000230415	278
ENST00000379116	ENSG00000162572	280
ENST00000354700	ENSG00000131584	288
ENST00000379031	ENSG00000169972	301
ENST00000435064	ENSG00000127054	307
ENST00000444968	ENSG00000240731	342
ENST00000343938	ENSG00000224051	356
ENST00000339381	ENSG00000169962	358
ENST00000378888	ENSG00000107404	360
ENST00000477278	ENSG00000162576	365
ENST00000338338	ENSG00000175756	373
ENST00000435351	ENSG00000223663	378
ENST00000400809	ENSG00000221978	383
ENST00000444362	ENSG00000224870	400
ENST00000344843	ENSG00000242485	407
ENST00000582431	ENSG00000264293	412
ENST00000607307	ENSG00000272455	414
ENST00000427211	ENSG00000235098	416
ENST00000428932	ENSG00000225905	420
ENST00000378821	ENSG00000205116	422
ENST00000430109	ENSG00000225285	423
ENST00000404702	ENSG00000179403	429
ENST00000378785	ENSG00000215915	432
ENST00000308647	ENSG00000160072	436
ENST00000378756	ENSG00000197785	441
ENST00000425828	ENSG00000205090	449
ENST00000291386	ENSG00000160075	450
ENST00000539195	ENSG00000215791	454
ENST00000366221	ENSG00000215014	455
ENST00000426195	ENSG00000236684	456
ENST00000422725	ENSG00000228594	457
ENST00000607222	ENSG00000272106	458
ENST00000357210	ENSG00000197530	460
ENST00000356026	ENSG00000189409	494
ENST00000407249	ENSG00000248333	505
ENST00000607013	ENSG00000272004	510
ENST00000234800	ENSG00000189339	512
ENST00000596308	ENSG00000269737	515
ENST00000597891	ENSG00000269227	516
ENST00000412810	ENSG00000215914	517
ENST00000598846	ENSG00000268575	520
ENST00000404249	ENSG00000008128	525
ENST00000577672	ENSG00000227775	544
ENST00000355439	ENSG00000215790	546
ENST00000378625	ENSG00000008130	554
ENST00000378609	ENSG00000078369	571
ENST00000412228	ENSG00000231050	579
ENST00000307786	ENSG00000169885	580
ENST00000310991	ENSG00000178821	585
ENST00000493964	ENSG00000142609	592
ENST00000443930	ENSG00000233542	601
ENST00000378585	ENSG00000187730	602
ENST00000449154	ENSG00000226969	604
ENST00000378567	ENSG00000067606	605
ENST00000606533	ENSG00000271806	627
ENST00000536678	ENSG00000182873	634
ENST00000400919	ENSG00000162585	639
ENST00000597060	ENSG00000269554	649
ENST00000545087	ENSG00000203301	652
ENST00000420964	ENSG00000243558	653
ENST00000442483	ENSG00000234396	654
ENST00000378536	ENSG00000157933	655
ENST00000378531	ENSG00000116151	659
ENST00000607720	ENSG00000272161	660
ENST00000600779	ENSG00000269753	661
ENST00000602865	ENSG00000269896	663
ENST00000417061	ENSG00000238240	664
ENST00000607858	ENSG00000272420	667
ENST00000606642	ENSG00000271921	670
ENST00000606280	ENSG00000271847	671
ENST00000317490	ENSG00000178642	675
ENST00000605895	ENSG00000157916	679
ENST00000447513	ENSG00000157911	688
ENST00000609981	ENSG00000149527	696
ENST00000424657	ENSG00000224387	704
ENST00000442305	ENSG00000229393	705
ENST00000378466	ENSG00000157881	708
ENST00000378453	ENSG00000197921	720
ENST00000606645	ENSG00000272449	721
ENST00000416860	ENSG00000238164	724
ENST00000355716	ENSG00000157873	733
ENST00000456687	ENSG00000225931	744
ENST00000424215	ENSG00000228037	745
ENST00000419916	ENSG00000157870	748
ENST00000288709	ENSG00000142606	762
ENST00000427302	ENSG00000237058	771
ENST00000401094	ENSG00000215912	773
ENST00000457440	ENSG00000233234	776
ENST00000429389	ENSG00000231630	777
ENST00000378404	ENSG00000169717	778
ENST00000445317	ENSG00000177133	783
ENST00000420957	ENSG00000256761	785
ENST00000378398	ENSG00000142611	788
ENST00000440516	ENSG00000226286	795
ENST00000607061	ENSG00000272235	798
ENST00000378378	ENSG00000130762	802
ENST00000606489	ENSG00000272088	810
ENST00000356575	ENSG00000162591	812
ENST00000385042	ENSG00000207776	818
ENST00000435049	ENSG00000238260	819
ENST00000378344	ENSG00000158109	820
ENST00000270708	ENSG00000116213	823
ENST00000378295	ENSG00000078900	832
ENST00000443034	ENSG00000227589	837
ENST00000416554	ENSG00000235131	846
ENST00000452079	ENSG00000227372	849
ENST00000294600	ENSG00000162592	855
ENST00000444870	ENSG00000235169	857
ENST00000378251	ENSG00000130764	860
ENST00000581512	ENSG00000266075	863
ENST00000607459	ENSG00000272153	864
ENST00000378230	ENSG00000116198	865
ENST00000378209	ENSG00000169598	876
ENST00000579705	ENSG00000264428	888
ENST00000361605	ENSG00000198912	890
ENST00000442673	ENSG00000236423	893
ENST00000412674	ENSG00000233304	896
ENST00000425194	ENSG00000226374	897
ENST00000449232	ENSG00000229280	898
ENST00000423197	ENSG00000235054	899
ENST00000438791	ENSG00000227169	900
ENST00000420522	ENSG00000232596	901
ENST00000378191	ENSG00000196581	903
ENST00000443270	ENSG00000231510	905
ENST00000564261	ENSG00000260972	906
ENST00000579887	ENSG00000264341	907
